exp	acc	target	biosample	synonyms	biorep	techrep	read	read_length	run_type	read_count	url	md5sum	controls
ENCSR724YTA	ENCFF821OKY	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5853546	https://encode-public.s3.amazonaws.com/2021/01/28/d3d24b8a-afc7-4c2a-9def-928e1305f309/ENCFF821OKY.fastq.gz	bcbc7cfc4c05866d1316b11930298a74	ENCSR739QEI
ENCSR724YTA	ENCFF401WPF	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5862012	https://encode-public.s3.amazonaws.com/2021/01/28/05e53134-52d0-4ce6-b2d5-8cc41819d666/ENCFF401WPF.fastq.gz	f17049f0f4ba3cc05ab52658cad5d882	ENCSR739QEI
ENCSR724YTA	ENCFF305JSV	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	6025522	https://encode-public.s3.amazonaws.com/2021/01/28/1d75b0a3-a567-4751-96ee-4392a85276bd/ENCFF305JSV.fastq.gz	aa76f7e858e268a037193f0384ea9ced	ENCSR739QEI
ENCSR724YTA	ENCFF283GPJ	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5868826	https://encode-public.s3.amazonaws.com/2021/01/28/f159f59c-a583-4f1b-9abb-4d4f1728d23a/ENCFF283GPJ.fastq.gz	d024064500e402793bbe7447400752d4	ENCSR739QEI
ENCSR724YTA	ENCFF701YZU	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	4911514	https://encode-public.s3.amazonaws.com/2021/01/28/3edb09fb-a7d3-464f-a7e3-ffb60884c244/ENCFF701YZU.fastq.gz	c3ab8b90213e263c46dc149f63fd3ce0	ENCSR739QEI
ENCSR724YTA	ENCFF599QHB	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	4988772	https://encode-public.s3.amazonaws.com/2021/01/28/a7f65bf5-e01a-4f38-af04-9f3a946592b6/ENCFF599QHB.fastq.gz	b6cf0f53db0646bac9d1247d11566e91	ENCSR739QEI
ENCSR724YTA	ENCFF150GTK	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	4979709	https://encode-public.s3.amazonaws.com/2021/01/28/99c66ae3-8a8e-448d-859d-1520fb946b7e/ENCFF150GTK.fastq.gz	333b56852b15142fab672cefa3d0136d	ENCSR739QEI
ENCSR724YTA	ENCFF623AXF	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	4886356	https://encode-public.s3.amazonaws.com/2021/01/28/a8f841c9-464e-4692-b721-118a03d67b7c/ENCFF623AXF.fastq.gz	107b4c72f6a302ed8f83f1beb66e4523	ENCSR739QEI
ENCSR423ZUM	ENCFF393RDJ	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	6342919	https://encode-public.s3.amazonaws.com/2021/01/28/444bd888-0f26-46a6-a8d3-2ca26b9b321d/ENCFF393RDJ.fastq.gz	db8587856f957d1b9dc73886ac7aad12	ENCSR613JAK
ENCSR423ZUM	ENCFF941IAT	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	6322057	https://encode-public.s3.amazonaws.com/2021/01/28/8639ee58-37ab-41ac-879c-432cd6a9bca2/ENCFF941IAT.fastq.gz	6861e8ac512d25e0fc639501204dd20b	ENCSR613JAK
