exp	acc	target	biosample	synonyms	biorep	techrep	read	read_length	run_type	read_count	url	md5sum	controls	qc_flags
ENCSR959XNY	ENCFF655BEL	MED1	HepG2	HepG2 cell,Hep-G2	2	2_1	1	75	single-ended	40474263	https://encode-public.s3.amazonaws.com/2018/06/06/cfcbb186-586a-4aed-bf7f-03bdce6da3e8/ENCFF655BEL.fastq.gz	596f29273326f236d21e9dcfbc7bde44	ENCSR020QUJ	missing genetic modification reagents
ENCSR959XNY	ENCFF920MZO	MED1	HepG2	HepG2 cell,Hep-G2	1	1_1	1	75	single-ended	38046079	https://encode-public.s3.amazonaws.com/2018/06/06/f0bfba19-75e2-4e99-8788-67c583ec86c9/ENCFF920MZO.fastq.gz	872871049ed39779348841c516e36311	ENCSR020QUJ	missing genetic modification reagents
ENCSR577YCO	ENCFF075LHW	ARHGAP35	HepG2	HepG2 cell,Hep-G2	1	1_2	1	100	single-ended	32210747	https://encode-public.s3.amazonaws.com/2022/01/27/e698fa0d-06b9-4f07-8719-753ed23b6180/ENCFF075LHW.fastq.gz	a42e339580b9832afb0357dabda8b648	ENCSR239QGH	borderline replicate concordance,inconsistent platforms,inconsistent control read length,mild to moderate bottlenecking,moderate library complexity,missing genetic modification reagents
ENCSR577YCO	ENCFF504PYF	ARHGAP35	HepG2	HepG2 cell,Hep-G2	1	1_2	1	100	single-ended	32231636	https://encode-public.s3.amazonaws.com/2022/01/27/548c070e-0fef-4230-9d71-a3a814f9f67e/ENCFF504PYF.fastq.gz	dd750faa1dec4db3bb1f27a83674df2c	ENCSR239QGH	borderline replicate concordance,inconsistent platforms,inconsistent control read length,mild to moderate bottlenecking,moderate library complexity,missing genetic modification reagents
ENCSR577YCO	ENCFF574DSC	ARHGAP35	HepG2	HepG2 cell,Hep-G2	2	2_2	1	100	single-ended	18968586	https://encode-public.s3.amazonaws.com/2022/01/27/793c822e-212e-41eb-a79f-7c19304365ab/ENCFF574DSC.fastq.gz	8f94a92a30e42ad4ee2d32a3b8b3cb78	ENCSR239QGH	borderline replicate concordance,inconsistent platforms,inconsistent control read length,mild to moderate bottlenecking,moderate library complexity,missing genetic modification reagents
ENCSR577YCO	ENCFF573AYA	ARHGAP35	HepG2	HepG2 cell,Hep-G2	2	2_2	1	100	single-ended	18837767	https://encode-public.s3.amazonaws.com/2022/01/27/fdce7791-750e-4489-ab0a-60177f441b20/ENCFF573AYA.fastq.gz	b92da1085eff4b09be1f101cd9a2d0e7	ENCSR239QGH	borderline replicate concordance,inconsistent platforms,inconsistent control read length,mild to moderate bottlenecking,moderate library complexity,missing genetic modification reagents
ENCSR924LSO	ENCFF922FCP	E2F4	HepG2	HepG2 cell,Hep-G2	1	1_1	1	75	single-ended	31617494	https://encode-public.s3.amazonaws.com/2018/05/22/fcc11cc4-54e6-42ac-938b-a345a60502c2/ENCFF922FCP.fastq.gz	6120ebbdfb1f289df9860b3e70021b10	ENCSR020QUJ	missing genetic modification reagents
ENCSR924LSO	ENCFF303PBY	E2F4	HepG2	HepG2 cell,Hep-G2	2	2_1	1	75	single-ended	46321877	https://encode-public.s3.amazonaws.com/2018/05/22/51374389-8b03-4518-9e88-1be8fbfe8cc8/ENCFF303PBY.fastq.gz	376e6ab22ba474c69fc8d5dbb3eb66bd	ENCSR020QUJ	missing genetic modification reagents
ENCSR942XQI	ENCFF989YGA	RAD21	K562	 K562 cell,K-562,K-562 cell	1	1_1	1	100	paired-ended	54054725	https://encode-public.s3.amazonaws.com/2021/03/21/9c972711-4fde-4938-b0af-196ab6d853cf/ENCFF989YGA.fastq.gz	8fd5972bbecd7b111cfecde6d1263b47	ENCSR085CJF	mild to moderate bottlenecking
ENCSR942XQI	ENCFF435JLU	RAD21	K562	 K562 cell,K-562,K-562 cell	1	1_1	2	100	paired-ended	54054725	https://encode-public.s3.amazonaws.com/2021/03/21/2efcdcc1-5fef-47fe-8d1e-3c43682e99e1/ENCFF435JLU.fastq.gz	00e69a646bfbde8999aab6fc29f886a1	ENCSR085CJF	mild to moderate bottlenecking
ENCSR942XQI	ENCFF199ENC	RAD21	K562	 K562 cell,K-562,K-562 cell	2	2_1	1	100	paired-ended	45333623	https://encode-public.s3.amazonaws.com/2021/03/21/eb165cb3-13d7-44a5-8f1e-b96c56fd3b5b/ENCFF199ENC.fastq.gz	8abf7009a109d413056d3d997b80ac48	ENCSR085CJF	mild to moderate bottlenecking
ENCSR942XQI	ENCFF780JMC	RAD21	K562	 K562 cell,K-562,K-562 cell	2	2_1	2	100	paired-ended	45333623	https://encode-public.s3.amazonaws.com/2021/03/21/aac593ff-a031-41c6-a614-ee3c00254a79/ENCFF780JMC.fastq.gz	bc23b8298a3c5117bca85310f756e5df	ENCSR085CJF	mild to moderate bottlenecking
ENCSR724YTA	ENCFF821OKY	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5853546	https://encode-public.s3.amazonaws.com/2021/01/28/d3d24b8a-afc7-4c2a-9def-928e1305f309/ENCFF821OKY.fastq.gz	bcbc7cfc4c05866d1316b11930298a74	ENCSR739QEI	missing controlled_by
ENCSR724YTA	ENCFF401WPF	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5862012	https://encode-public.s3.amazonaws.com/2021/01/28/05e53134-52d0-4ce6-b2d5-8cc41819d666/ENCFF401WPF.fastq.gz	f17049f0f4ba3cc05ab52658cad5d882	ENCSR739QEI	missing controlled_by
ENCSR724YTA	ENCFF305JSV	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	6025522	https://encode-public.s3.amazonaws.com/2021/01/28/1d75b0a3-a567-4751-96ee-4392a85276bd/ENCFF305JSV.fastq.gz	aa76f7e858e268a037193f0384ea9ced	ENCSR739QEI	missing controlled_by
ENCSR724YTA	ENCFF283GPJ	CTCF	dorsolateral prefrontal cortex		1	1_1	1	76	single-ended	5868826	https://encode-public.s3.amazonaws.com/2021/01/28/f159f59c-a583-4f1b-9abb-4d4f1728d23a/ENCFF283GPJ.fastq.gz	d024064500e402793bbe7447400752d4	ENCSR739QEI	missing controlled_by
ENCSR724YTA	ENCFF701YZU	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	4911514	https://encode-public.s3.amazonaws.com/2021/01/28/3edb09fb-a7d3-464f-a7e3-ffb60884c244/ENCFF701YZU.fastq.gz	c3ab8b90213e263c46dc149f63fd3ce0	ENCSR739QEI	missing controlled_by
ENCSR724YTA	ENCFF599QHB	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	4988772	https://encode-public.s3.amazonaws.com/2021/01/28/a7f65bf5-e01a-4f38-af04-9f3a946592b6/ENCFF599QHB.fastq.gz	b6cf0f53db0646bac9d1247d11566e91	ENCSR739QEI	missing controlled_by
ENCSR724YTA	ENCFF150GTK	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	4979709	https://encode-public.s3.amazonaws.com/2021/01/28/99c66ae3-8a8e-448d-859d-1520fb946b7e/ENCFF150GTK.fastq.gz	333b56852b15142fab672cefa3d0136d	ENCSR739QEI	missing controlled_by
ENCSR724YTA	ENCFF623AXF	CTCF	dorsolateral prefrontal cortex		1	1_2	1	76	single-ended	4886356	https://encode-public.s3.amazonaws.com/2021/01/28/a8f841c9-464e-4692-b721-118a03d67b7c/ENCFF623AXF.fastq.gz	107b4c72f6a302ed8f83f1beb66e4523	ENCSR739QEI	missing controlled_by
